epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.495,0.52435,2.23099,1.1028,0.69785,0.76285,0.86959,0.79009,0.39337,1.38649,1.00837,0.00331811,0.00331811,0.00331811
2,318.832,0.46701,1.07544,1.02795,0.94903,0.91853,0.97772,0.91377,0.3583,0.63529,0.93596,0.0065856,0.0065856,0.0065856
3,473.843,0.50174,0.94186,1.03577,0.79458,0.74733,0.87043,0.77402,0.45795,1.14627,1.03061,0.00978708,0.00978708,0.00978708
4,628.536,0.52785,0.84922,1.0566,0.84159,0.81767,0.83898,0.75904,0.46444,1.42936,1.04991,0.009703,0.009703,0.009703
5,782.998,0.49534,0.72365,1.03344,0.96105,0.95103,0.9784,0.91081,0.36338,0.9019,0.94156,0.009604,0.009604,0.009604
6,936.623,0.46743,0.64011,1.01691,0.83195,0.86388,0.94089,0.85336,0.41224,0.90777,1.0036,0.009505,0.009505,0.009505
7,1090.55,0.44745,0.59129,1.00801,0.97138,0.96629,0.98377,0.92,0.36857,0.56593,0.94075,0.009406,0.009406,0.009406
8,1244.4,0.42887,0.55365,0.9975,0.92526,0.90519,0.96469,0.91563,0.35281,0.6272,0.93475,0.009307,0.009307,0.009307
9,1398.94,0.41925,0.53239,0.99373,0.95999,0.95111,0.98842,0.94867,0.31299,0.37164,0.8883,0.009208,0.009208,0.009208
10,1553.19,0.40777,0.50811,0.98825,0.96838,0.93338,0.97449,0.93423,0.311,0.56519,0.89373,0.009109,0.009109,0.009109
11,1707.79,0.39774,0.48817,0.98104,0.96339,0.9666,0.98437,0.95481,0.2839,0.36656,0.87285,0.00901,0.00901,0.00901
12,1861.23,0.39132,0.46703,0.97849,0.91085,0.87901,0.95738,0.92696,0.28811,0.78435,0.86629,0.008911,0.008911,0.008911
13,2015.34,0.385,0.45636,0.97265,0.98046,0.97207,0.98602,0.95435,0.27721,0.35626,0.86225,0.008812,0.008812,0.008812
14,2169.51,0.37649,0.44525,0.96967,0.95365,0.96265,0.98636,0.96291,0.27225,0.29791,0.86563,0.008713,0.008713,0.008713
